mode,label,capacity_mbps,trigger_rate,relay_jump_m,optimization_time_s,success_rate
full,RLPSOEC,110.5853522667878,0.718,8.28213446597512,0.19893189096450806,0.981
no_ppo,RLPSOEC w/o PPO,100.17408254212233,0.754,10.073420595841467,0.22593535137176513,0.984
no_trigger,RLPSOEC w/o Trigger,107.69022403154264,0.724,8.897185252473157,0.20161307096481323,0.964
static,Centralized deployment,57.98948972125297,,,,
