0,0,432
0,200,106
0,400,74
1000,0,113
1000,200,118
1000,400,97
2000,0,101
2000,200,70
2000,400,48
3000,0,59
3000,200,76
3000,400,49
4000,0,0
4000,200,0
4000,400,0
